examination_id,user_id,conclusion_id,status,created_at,updated_at,active_flag
48,12,,1,2013-10-28 15:27:16 UTC,2013-10-28 15:27:16 UTC,1
47,10,,2,2013-10-28 11:03:45 UTC,2013-10-29 02:18:29 UTC,1
46,8,,2,2013-10-28 10:13:11 UTC,2013-10-29 02:52:25 UTC,1
45,11,,1,2013-10-28 10:08:57 UTC,2013-10-28 10:08:57 UTC,1
44,9,,1,2013-10-28 10:06:59 UTC,2013-10-28 10:06:59 UTC,1
43,13,,1,2013-10-28 10:05:36 UTC,2013-10-28 10:05:36 UTC,1
42,12,,1,2013-10-28 10:05:30 UTC,2013-10-28 10:05:30 UTC,1
41,10,,1,2013-10-28 10:00:37 UTC,2013-10-28 10:00:37 UTC,1
40,11,,2,2013-10-28 09:44:38 UTC,2013-10-28 10:31:39 UTC,1
39,12,,1,2013-10-28 09:44:36 UTC,2013-10-28 09:44:36 UTC,1
38,12,,2,2013-10-28 09:44:18 UTC,2013-10-28 10:42:50 UTC,1
37,13,,2,2013-10-28 09:44:04 UTC,2013-10-28 10:45:15 UTC,1
36,10,,2,2013-10-28 09:44:01 UTC,2013-10-28 10:46:38 UTC,1
35,8,,2,2013-10-28 09:43:55 UTC,2013-10-28 10:48:25 UTC,1
34,9,,2,2013-10-28 09:43:54 UTC,2013-10-28 10:49:34 UTC,1
33,16,,1,2013-10-28 07:51:32 UTC,2013-10-28 07:51:32 UTC,1
32,5,,1,2013-10-28 07:50:57 UTC,2013-10-28 07:50:57 UTC,1
31,15,,2,2013-10-24 02:05:40 UTC,2013-10-24 02:11:58 UTC,1
30,15,,1,2013-10-24 02:05:34 UTC,2013-10-24 02:05:34 UTC,1
29,15,,2,2013-10-24 01:38:51 UTC,2013-10-24 01:58:01 UTC,1
28,14,,1,2013-10-23 10:50:44 UTC,2013-10-23 10:50:44 UTC,1
27,12,,1,2013-10-23 09:57:08 UTC,2013-10-23 09:57:08 UTC,1
26,13,,2,2013-10-23 09:51:15 UTC,2013-10-23 09:55:25 UTC,1
25,9,,2,2013-10-23 09:44:47 UTC,2013-10-23 09:51:08 UTC,1
24,10,,2,2013-10-23 09:39:36 UTC,2013-10-23 09:44:19 UTC,1
23,11,,2,2013-10-23 09:30:00 UTC,2013-10-23 09:44:32 UTC,1
22,13,,2,2013-10-23 09:24:23 UTC,2013-10-23 09:43:56 UTC,1
21,13,,1,2013-10-23 09:24:15 UTC,2013-10-23 09:24:15 UTC,1
20,5,,2,2013-10-23 09:10:11 UTC,2013-10-23 09:21:49 UTC,1
19,10,,2,2013-10-23 09:08:18 UTC,2013-10-23 09:26:49 UTC,1
18,4,,2,2013-10-23 09:07:01 UTC,2013-10-23 09:22:37 UTC,1
17,12,,2,2013-10-23 09:06:20 UTC,2013-10-23 09:27:11 UTC,1
16,11,,2,2013-10-23 09:04:18 UTC,2013-10-23 09:27:00 UTC,1
15,8,,2,2013-10-23 09:03:03 UTC,2013-10-23 09:27:20 UTC,1
14,9,,2,2013-10-23 09:03:02 UTC,2013-10-23 09:25:30 UTC,1
13,8,,1,2013-10-23 09:02:54 UTC,2013-10-23 09:02:54 UTC,1
12,7,,1,2013-10-23 08:10:38 UTC,2013-10-23 08:10:38 UTC,1
11,7,,1,2013-10-23 08:10:31 UTC,2013-10-23 08:10:31 UTC,1
10,7,,1,2013-10-23 08:07:57 UTC,2013-10-23 08:07:57 UTC,1
9,5,,1,2013-10-23 04:25:06 UTC,2013-10-23 04:25:06 UTC,1
8,5,,2,2013-10-23 04:24:01 UTC,2013-10-23 04:24:51 UTC,1
7,6,,1,2013-10-22 06:17:26 UTC,2013-10-22 06:17:26 UTC,1
6,6,,1,2013-10-22 06:17:23 UTC,2013-10-22 06:17:23 UTC,1
5,5,,2,2013-10-21 07:05:59 UTC,2013-10-21 08:38:25 UTC,1
4,4,,2,2013-10-21 07:05:55 UTC,2013-10-21 08:41:29 UTC,1
3,3,,2,2013-10-21 07:00:58 UTC,2013-10-21 08:35:34 UTC,1
2,2,,2,2013-10-21 06:47:18 UTC,2013-10-21 06:48:10 UTC,1
1,2,,1,2013-10-21 06:27:32 UTC,2013-10-21 06:27:32 UTC,1
