examination_id,user_id,conclusion_id,status,created_at,updated_at,active_flag
83,8,,2,2013-11-01 08:38:43 UTC,2013-11-01 09:21:51 UTC,1
82,11,,1,2013-11-01 01:50:03 UTC,2013-11-01 01:50:03 UTC,1
81,11,,1,2013-11-01 01:49:53 UTC,2013-11-01 01:49:53 UTC,1
80,11,,1,2013-11-01 01:49:45 UTC,2013-11-01 01:49:45 UTC,1
79,11,,1,2013-11-01 01:49:36 UTC,2013-11-01 01:49:36 UTC,1
78,8,,1,2013-11-01 01:48:27 UTC,2013-11-01 01:48:27 UTC,1
77,8,,1,2013-11-01 01:48:01 UTC,2013-11-01 01:48:01 UTC,1
76,8,,1,2013-11-01 01:45:53 UTC,2013-11-01 01:45:53 UTC,1
75,20,,1,2013-10-31 08:32:43 UTC,2013-10-31 08:32:43 UTC,1
74,19,,1,2013-10-31 08:32:38 UTC,2013-10-31 08:32:38 UTC,1
73,18,,2,2013-10-31 08:30:31 UTC,2013-10-31 09:32:47 UTC,1
72,19,,2,2013-10-31 08:07:52 UTC,2013-10-31 10:04:12 UTC,1
71,18,,2,2013-10-31 08:07:37 UTC,2013-10-31 09:30:06 UTC,1
70,20,,2,2013-10-31 08:07:34 UTC,2013-10-31 10:36:20 UTC,1
69,13,,1,2013-10-31 06:25:19 UTC,2013-10-31 06:25:19 UTC,1
68,9,,1,2013-10-31 06:22:38 UTC,2013-10-31 06:22:38 UTC,1
67,13,,2,2013-10-31 06:10:04 UTC,2013-10-31 06:42:05 UTC,1
66,9,,2,2013-10-31 06:02:24 UTC,2013-10-31 06:41:19 UTC,1
65,20,,2,2013-10-30 03:14:00 UTC,2013-10-30 03:35:23 UTC,1
64,19,,2,2013-10-30 03:13:53 UTC,2013-10-30 03:35:14 UTC,1
63,18,,2,2013-10-30 03:13:20 UTC,2013-10-30 03:28:22 UTC,1
62,3,,1,2013-10-29 07:07:34 UTC,2013-10-29 07:07:34 UTC,1
61,3,,1,2013-10-29 07:07:14 UTC,2013-10-29 07:07:14 UTC,1
60,3,,1,2013-10-29 07:07:01 UTC,2013-10-29 07:07:01 UTC,1
59,3,,1,2013-10-29 07:06:44 UTC,2013-10-29 07:06:44 UTC,1
58,3,,2,2013-10-29 06:29:13 UTC,2013-10-29 07:13:10 UTC,1
57,13,,1,2013-10-29 06:13:21 UTC,2013-10-29 06:13:21 UTC,1
56,4,,2,2013-10-29 06:09:22 UTC,2013-10-29 07:03:54 UTC,1
55,17,,2,2013-10-29 06:09:01 UTC,2013-10-29 07:09:17 UTC,1
54,11,,1,2013-10-29 02:44:24 UTC,2013-10-29 02:44:24 UTC,1
53,15,,1,2013-10-29 02:17:27 UTC,2013-10-29 02:17:27 UTC,1
52,15,,2,2013-10-29 01:47:38 UTC,2013-10-29 02:12:06 UTC,1
51,13,,2,2013-10-29 01:42:45 UTC,2013-10-29 02:43:53 UTC,1
50,12,,2,2013-10-29 01:28:42 UTC,2013-10-29 02:17:57 UTC,1
49,12,,2,2013-10-29 01:28:06 UTC,2013-10-29 02:17:49 UTC,1
