examination_id,user_id,conclusion_id,status,created_at,updated_at,active_flag
467,83,,1,2014-06-09 01:41:50 UTC,2014-06-09 01:41:50 UTC,1
466,83,,1,2014-06-09 01:41:44 UTC,2014-06-09 01:41:44 UTC,1
465,64,,1,2014-06-07 09:41:19 UTC,2014-06-07 09:41:19 UTC,1
464,64,,1,2014-06-07 09:40:58 UTC,2014-06-07 09:40:58 UTC,1
463,79,,1,2014-06-07 09:40:46 UTC,2014-06-07 09:40:46 UTC,1
462,65,,1,2014-06-07 09:40:19 UTC,2014-06-07 09:40:19 UTC,1
461,91,,2,2014-06-07 09:38:07 UTC,2014-06-07 09:44:53 UTC,1
460,87,,1,2014-06-07 09:37:15 UTC,2014-06-07 09:37:15 UTC,1
459,39,,1,2014-06-07 09:35:32 UTC,2014-06-07 09:35:32 UTC,1
458,90,,2,2014-06-07 09:30:48 UTC,2014-06-07 09:44:28 UTC,1
457,89,,1,2014-06-07 09:28:46 UTC,2014-06-07 09:28:46 UTC,1
456,73,,1,2014-06-07 09:28:46 UTC,2014-06-07 09:28:46 UTC,1
455,88,,2,2014-06-07 09:27:23 UTC,2014-06-07 09:45:18 UTC,1
454,87,,1,2014-06-07 09:27:06 UTC,2014-06-07 09:27:06 UTC,1
453,86,,2,2014-06-07 09:24:45 UTC,2014-06-07 09:38:30 UTC,1
452,79,,1,2014-06-07 09:24:33 UTC,2014-06-07 09:24:33 UTC,1
451,85,,2,2014-06-07 09:24:05 UTC,2014-06-07 09:48:51 UTC,1
450,69,,2,2014-06-07 09:21:57 UTC,2014-06-07 09:46:00 UTC,1
449,69,,1,2014-06-07 09:21:44 UTC,2014-06-07 09:21:44 UTC,1
448,84,,2,2014-06-07 09:20:57 UTC,2014-06-07 09:28:38 UTC,1
447,12,,2,2014-06-07 09:19:05 UTC,2014-06-07 09:44:09 UTC,1
446,8,,1,2014-06-07 09:18:06 UTC,2014-06-07 09:18:06 UTC,1
445,83,,2,2014-06-07 09:16:45 UTC,2014-06-09 02:17:03 UTC,1
444,82,,2,2014-06-07 09:15:18 UTC,2014-06-07 09:22:33 UTC,1
443,80,,1,2014-06-07 09:14:31 UTC,2014-06-07 09:14:31 UTC,1
442,81,,2,2014-06-07 09:14:00 UTC,2014-06-07 09:51:57 UTC,1
441,79,,1,2014-06-07 09:12:18 UTC,2014-06-07 09:12:18 UTC,1
440,78,,1,2014-06-07 09:11:17 UTC,2014-06-07 09:11:17 UTC,1
