answer_sheet_detail_id,answer_sheet_id,question_id,answer_id,no,answer_content,answer_file,answer_correct,created_at,updated_at,active_flag
1,1,10,,1,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
2,1,6,,2,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
3,1,13,,3,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
4,1,11,,4,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
5,1,12,,5,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
6,1,7,,6,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
7,1,8,,7,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
8,1,15,,8,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
9,1,14,,9,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
10,1,9,,10,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
11,1,27,,11,,,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
12,1,28,,12,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
13,1,26,,13,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
14,1,33,,14,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
15,1,24,,15,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
16,1,34,,16,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
17,1,16,,17,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
18,1,32,,18,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
19,1,23,,19,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
20,1,20,,20,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
21,1,25,,21,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
22,1,30,,22,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
23,1,31,,23,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
24,1,18,,24,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
25,1,21,,25,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
26,1,19,,26,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
27,1,35,,27,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
28,1,22,,28,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
29,1,29,,29,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
30,1,17,,30,,,0,2013-10-17 02:59:55 UTC,2013-10-17 02:59:55 UTC,1
31,2,13,38,1,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:25 UTC,1
32,2,9,22,2,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:25 UTC,1
33,2,8,21,3,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:25 UTC,1
34,2,14,,4,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
35,2,11,,5,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
36,2,6,13,6,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:25 UTC,1
37,2,7,,7,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
38,2,12,,8,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
39,2,10,,9,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
40,2,15,,10,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
41,2,29,,11,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
42,2,22,,12,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
43,2,30,,13,,,0,2013-10-17 03:13:00 UTC,2013-10-17 03:13:00 UTC,1
